from_type,to_type,transitions,pct
ASSAULT,BATTERY,509,21.49
ASSAULT,THEFT,436,18.41
ASSAULT,ASSAULT,374,15.79
ASSAULT,CRIMINAL DAMAGE,230,9.71
ASSAULT,OTHER OFFENSE,167,7.05
ASSAULT,MOTOR VEHICLE THEFT,132,5.57
ASSAULT,DECEPTIVE PRACTICE,89,3.76
ASSAULT,CRIMINAL TRESPASS,84,3.55
ASSAULT,BURGLARY,80,3.38
ASSAULT,NARCOTICS,67,2.83
ASSAULT,ROBBERY,60,2.53
ASSAULT,WEAPONS VIOLATION,49,2.07
ASSAULT,CRIMINAL SEXUAL ASSAULT,22,0.93
ASSAULT,OFFENSE INVOLVING CHILDREN,20,0.84
ASSAULT,INTERFERENCE WITH PUBLIC OFFICER,11,0.46
ASSAULT,PUBLIC PEACE VIOLATION,8,0.34
ASSAULT,SEX OFFENSE,8,0.34
ASSAULT,HOMICIDE,5,0.21
ASSAULT,CONCEALED CARRY LICENSE VIOLATION,3,0.13
ASSAULT,INTIMIDATION,3,0.13
ASSAULT,STALKING,3,0.13
ASSAULT,LIQUOR LAW VIOLATION,3,0.13
ASSAULT,PUBLIC INDECENCY,2,0.08
ASSAULT,ARSON,1,0.04
ASSAULT,PROSTITUTION,1,0.04
ASSAULT,GAMBLING,1,0.04
BATTERY,BATTERY,1279,26.58
BATTERY,THEFT,843,17.52
BATTERY,ASSAULT,524,10.89
BATTERY,CRIMINAL DAMAGE,454,9.43
BATTERY,OTHER OFFENSE,328,6.82
BATTERY,MOTOR VEHICLE THEFT,250,5.2
BATTERY,DECEPTIVE PRACTICE,219,4.55
BATTERY,BURGLARY,189,3.93
BATTERY,NARCOTICS,165,3.43
BATTERY,CRIMINAL TRESPASS,142,2.95
BATTERY,ROBBERY,95,1.97
BATTERY,WEAPONS VIOLATION,93,1.93
BATTERY,CRIMINAL SEXUAL ASSAULT,42,0.87
BATTERY,OFFENSE INVOLVING CHILDREN,41,0.85
BATTERY,SEX OFFENSE,37,0.77
BATTERY,PUBLIC PEACE VIOLATION,32,0.67
BATTERY,INTERFERENCE WITH PUBLIC OFFICER,25,0.52
BATTERY,STALKING,13,0.27
BATTERY,HOMICIDE,11,0.23
BATTERY,ARSON,10,0.21
BATTERY,LIQUOR LAW VIOLATION,9,0.19
BATTERY,INTIMIDATION,4,0.08
BATTERY,CONCEALED CARRY LICENSE VIOLATION,3,0.06
BATTERY,PROSTITUTION,3,0.06
BATTERY,HUMAN TRAFFICKING,1,0.02
BURGLARY,BURGLARY,285,22.8
BURGLARY,THEFT,253,20.24
BURGLARY,CRIMINAL DAMAGE,165,13.2
BURGLARY,BATTERY,162,12.96
BURGLARY,MOTOR VEHICLE THEFT,93,7.44
BURGLARY,ASSAULT,66,5.28
BURGLARY,OTHER OFFENSE,61,4.88
BURGLARY,DECEPTIVE PRACTICE,48,3.84
BURGLARY,CRIMINAL TRESPASS,35,2.8
BURGLARY,NARCOTICS,20,1.6
BURGLARY,WEAPONS VIOLATION,18,1.44
BURGLARY,ROBBERY,17,1.36
BURGLARY,CRIMINAL SEXUAL ASSAULT,5,0.4
BURGLARY,INTERFERENCE WITH PUBLIC OFFICER,5,0.4
BURGLARY,OFFENSE INVOLVING CHILDREN,5,0.4
BURGLARY,ARSON,3,0.24
BURGLARY,STALKING,3,0.24
BURGLARY,SEX OFFENSE,3,0.24
BURGLARY,PROSTITUTION,1,0.08
BURGLARY,HOMICIDE,1,0.08
BURGLARY,LIQUOR LAW VIOLATION,1,0.08
CRIMINAL DAMAGE,CRIMINAL DAMAGE,853,29.01
CRIMINAL DAMAGE,THEFT,445,15.14
CRIMINAL DAMAGE,BATTERY,439,14.93
CRIMINAL DAMAGE,ASSAULT,252,8.57
CRIMINAL DAMAGE,MOTOR VEHICLE THEFT,200,6.8
CRIMINAL DAMAGE,OTHER OFFENSE,181,6.16
CRIMINAL DAMAGE,BURGLARY,177,6.02
CRIMINAL DAMAGE,DECEPTIVE PRACTICE,94,3.2
CRIMINAL DAMAGE,CRIMINAL TRESPASS,67,2.28
CRIMINAL DAMAGE,NARCOTICS,57,1.94
CRIMINAL DAMAGE,WEAPONS VIOLATION,45,1.53
CRIMINAL DAMAGE,ROBBERY,41,1.39
CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,16,0.54
CRIMINAL DAMAGE,PUBLIC PEACE VIOLATION,14,0.48
